"1545-2921";"Economics Bulletin";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2047-0401";"Economics and Finance Review";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2175-6236";"Educacao e Realidade";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0104-4060";"Educar em Revista (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0101-7330";"Educação & Sociedade (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1678-0701";"Educação Ambiental em Ação";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1517-9702";"Educação e Pesquisa (USP.Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1571-0653";"Electronic Notes in Discrete Mathematics";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2176-4883";"Em Debate (Belo Horizonte)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1808-5245";"Em Questão";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1540-496X";"Emerging Markets Finance & Trade";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1566-0141";"Emerging Markets Review";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1809-0583";"Enciclopédia Biosfera";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"1518-2924";"Encontros Bibli";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1983-828X";"Encontros de Vista";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
